qid,domain,method,correctness,faithfulness,evidence_recall_at_k,total_time_s,total_tokens,prompt_tokens,completion_tokens,k_final,nq,rerank_enabled,rewrite_enabled,x_bm25,y_dense,reward
in_010,in_domain,baseline,1,1,1,218.06706979999944,1090,983,107,10,3,1,1,0.5,0.5,-9.575533489999971
in_065,in_domain,baseline,2,1,0,214.22204059999967,1216,1153,63,10,3,1,1,0.5,0.5,-9.383534029999986
in_062,in_domain,baseline,2,1,0,179.58923820000018,992,925,67,10,3,1,1,0.5,0.5,-7.651445910000009
ood_001,out_of_domain,baseline,2,1,,219.29658869999912,1261,1249,12,10,3,1,1,0.5,0.5,-9.637351434999957
ood_002,out_of_domain,baseline,2,1,,241.58987159999924,1319,1307,12,10,3,1,1,0.5,0.5,-10.752131579999961
in_002,in_domain,baseline,2,1,0,5.4182253000326455,1232,1220,12,10,3,1,1,0.5,0.5,1.0566247349983675
in_046,in_domain,baseline,2,1,0,12.780294499942102,1366,1177,189,10,3,1,1,0.5,0.5,0.6882532750028949
in_006,in_domain,baseline,2,1,0,5.5584178999997675,841,829,12,10,3,1,1,0.5,0.5,1.0503971050000116
ood_005,out_of_domain,baseline,2,1,,6.24367480003275,1327,1311,16,10,3,1,1,0.5,0.5,1.0151622599983625
ood_003,out_of_domain,baseline,0,0,,6.886144199990667,1055,998,57,10,3,1,1,0.5,0.5,-0.5164172099995333
