qid,domain,method,arm_idx,correctness,faithfulness,evidence_recall_at_k,total_time_s,total_tokens,prompt_tokens,completion_tokens,k_final,nq,rerank_enabled,rewrite_enabled,x_bm25,y_dense,reward
in_010,in_domain,rl_thompson,39,2,1,0,4.7571098000044,1025,924,101,10,3,0,1,0.2,0.8,1.1400945099997797
in_065,in_domain,rl_thompson,23,2,1,0,3.0212267000460997,944,871,73,10,1,0,1,0.8,0.19999999999999996,1.227050664997695
in_062,in_domain,rl_thompson,15,2,1,0,5.629251100006513,2147,2092,55,20,1,1,0,0.2,0.8,0.9642434449996744
ood_001,out_of_domain,rl_thompson,45,2,1,,4.9165789999533445,630,621,9,5,3,1,1,0.2,0.8,1.1329110500023327
ood_002,out_of_domain,rl_thompson,2,2,1,,1.3455751999281347,649,625,24,5,1,0,0,0.8,0.19999999999999996,1.3814232400035933
in_002,in_domain,rl_thompson,15,2,1,1,5.171795599977486,2266,2247,19,20,1,1,0,0.2,0.8,1.4868782200011257
in_046,in_domain,rl_thompson,5,2,1,0,5.119380999938585,1137,949,188,10,1,0,0,0.8,0.19999999999999996,1.1417569500030706
in_006,in_domain,rl_thompson,15,0,0,0,5.410432300064713,2010,1963,47,20,1,1,0,0.2,0.8,-0.5245416150032357
ood_005,out_of_domain,rl_thompson,5,2,1,,1.3113390998914838,928,912,16,10,1,0,0,0.8,0.19999999999999996,1.3325770450054257
ood_003,out_of_domain,rl_thompson,45,2,1,,8.397618200047873,563,520,43,5,3,1,1,0.2,0.8,0.9589930899976062
